Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,0.9998718566052514,-0.9998718566052514,0.9998718566052514,-0.9998718566052514,4,2,1,0,1
best,0.9999989275931022,-0.9999989275931022,0.9999989275931022,-0.9999989275931022,4,0,1,0,0
