Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-74.5587474103304,74.5587474103304,-75.02061663828918,75.02061663828918,0,1,4,4,12
best,-75.26966091003779,75.26966091003779,-75.42175238718254,75.42175238718254,0,5,2,1,11
