Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-0.05052645062759603,0.05052645062759603,-0.47845304709515496,0.47845304709515496,0,6,4,4,5
best,-0.9473143165992283,0.9473143165992283,-1.1173490240768291,1.1173490240768291,0,3,6,8,5
