Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-0.04130530578213201,0.04130530578213201,-1.117349024735468,1.117349024735468,1,4,8,5,3
best,-0.779304323994328,0.779304323994328,-1.117348884257322,1.117348884257322,0,3,5,6,6
