Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-75.03954288799218,75.03954288799218,-75.3171246013671,75.3171246013671,0,2,2,3,16
best,-75.31356689388667,75.31356689388667,-75.42175239178911,75.42175239178911,0,7,2,3,13
