Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-1.1115015585526185,1.1115015585526185,-1.1173482617658717,1.1173482617658717,2,0,2,0,0
best,-1.1172018720363694,1.1172018720363694,-1.117349013457751,1.117349013457751,2,0,2,3,0
