Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,0.9346645654712509,-0.9346645654712509,0.9346645654712509,-0.9346645654712509,4,1,0,0,3
best,0.9999516812825985,-0.9999516812825985,0.9999516812825985,-0.9999516812825985,3,0,1,0,1
