Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-7.824995034599562,7.824995034599562,-7.824995034599562,7.824995034599562,2,1,0,0,1
best,-7.952650045445748,7.952650045445748,-7.952650045445748,7.952650045445748,0,0,0,1,1
