Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-75.32217227210246,75.32217227210246,-75.34526601569749,75.34526601569749,1,0,3,3,2
best,-75.35147574050956,75.35147574050956,-75.36336986857489,75.36336986857489,2,1,2,2,3
