Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-4.852670103897465,4.852670103897465,-6.30001484410422,6.30001484410422,0,3,0,5,18
best,-7.431810388075017,7.431810388075017,-7.87131707529323,7.87131707529323,2,7,4,4,12
