problem,variant,mean,std,best
h2,selection-1_grams,0.8947198558269782,0.1212433081450239,1.096731114085676
h2,selection-2_grams,0.8698335407548555,0.11455448947715274,1.0299092148670137
h2,selection-3_grams,0.9042319319795926,0.08783999641412496,1.0403692005571703
h2,selection-RAVE,1.1166136605110528,0.0014489403923318015,1.1173353436974656
h2,selection-RAVE_200,0.8966507205851141,0.09894113822915887,1.0570085759332772
h2,selection-RAVE_tuned,1.1151516764873128,0.002154947208890303,1.1173331410106635
h2,selection-UCB,1.1111962020928245,0.00900851557618978,1.117338721993003
h2,selection-UCB_tuned,1.1151565867566406,0.0028584475828830726,1.1173485953184854
h2,selection-UCB_tuned_min_variance,1.1152846869333257,0.004630182554988086,1.1173271130374065
h2o,selection-1_grams,75.28951634174676,0.06941873882759225,75.4001871065163
h2o,selection-2_grams,75.28997987569787,0.092188184633638,75.42009423810367
h2o,selection-3_grams,75.26334147060257,0.06831455195730905,75.33434790614618
h2o,selection-RAVE,75.36761835226977,0.05005617843973975,75.42009979154285
h2o,selection-RAVE_200,75.29229117955398,0.06955259589270694,75.41709424384024
h2o,selection-RAVE_tuned,75.17590302574642,0.05843526839856798,75.26231219644932
h2o,selection-UCB,75.22532391117035,0.07590074783705966,75.33676328655466
h2o,selection-UCB_tuned,75.16335432492569,0.08837258080704456,75.30708032916809
h2o,selection-UCB_tuned_min_variance,75.3144130797339,0.09404123041212727,75.42106832421476
lih,selection-1_grams,7.735174055220507,0.14292783218613195,7.913561866098156
lih,selection-2_grams,7.676108133234822,0.13639955800641457,7.848507763402136
lih,selection-3_grams,7.520435808334144,0.17773225945050428,7.801542153643409
lih,selection-RAVE,7.952631402833679,4.9793471843979005e-05,7.952650045445752
lih,selection-RAVE_200,7.713466148724113,0.13892862427270683,7.946155141790961
lih,selection-RAVE_tuned,7.952650045445749,7.251946429389431e-16,7.95265004544575
lih,selection-UCB,7.943845666389239,0.02651716726315351,7.9526500454457505
lih,selection-UCB_tuned,7.951899032849816,0.001615865629910803,7.9526500454457505
lih,selection-UCB_tuned_min_variance,7.9526500454457505,9.819181883453728e-16,7.952650045445752
vqls_0,selection-1_grams,6.941907861791554e-05,1.4851921725480824e-05,4.7351898277336975e-05
vqls_0,selection-2_grams,7.321319766557017e-05,1.3757036362479631e-05,5.264711840482428e-05
vqls_0,selection-3_grams,7.252435380052439e-05,1.6487808326534996e-05,4.560871717300898e-05
vqls_0,selection-RAVE,4.5598208781629144e-05,4.1012194101485587e-07,4.540013115102772e-05
vqls_0,selection-RAVE_200,7.875576561836111e-05,1.4732561722434784e-05,4.8331584852514124e-05
vqls_0,selection-RAVE_tuned,4.582927594311532e-05,1.0164042533643237e-06,4.540491503231411e-05
vqls_0,selection-UCB,4.648715353637183e-05,1.3187072863296508e-06,4.5420804627253066e-05
vqls_0,selection-UCB_tuned,4.587475554722147e-05,7.580687690426315e-07,4.540063418070386e-05
vqls_0,selection-UCB_tuned_min_variance,4.5525394615894346e-05,2.472390422797622e-07,4.540112010692715e-05
vqls_1,selection-1_grams,0.00016069884067343833,1.9175961247661377e-18,0.0001606988406734361
vqls_1,selection-2_grams,0.00016069884067343722,1.7937412376414025e-18,0.0001606988406734361
vqls_1,selection-3_grams,0.00015073703881417411,3.150198347457321e-05,6.108082208080143e-05
vqls_1,selection-RAVE,7.459132746434426e-05,2.288612771238635e-05,4.5964375208788365e-05
vqls_1,selection-RAVE_200,0.00015422121280895905,2.0484057886725296e-05,9.592256202865046e-05
vqls_1,selection-RAVE_tuned,5.581556632856658e-05,1.6720164655508435e-05,4.54236490680724e-05
vqls_1,selection-UCB,8.436199718650043e-05,4.456086549695623e-05,4.543362430410122e-05
vqls_1,selection-UCB_tuned,9.276036984232678e-05,3.107091434113606e-05,5.2143626283763035e-05
vqls_1,selection-UCB_tuned_min_variance,8.30514352289832e-05,4.1256269388614876e-05,4.8502829425699784e-05
