Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-1.0672878233367213,1.0672878233367213,-1.117348891389016,1.117348891389016,1,1,1,3,1
best,-1.1082449216668473,1.1082449216668473,-1.1173490315687262,1.1173490315687262,1,2,1,1,0
