Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-74.88914790421998,74.88914790421998,-74.88914790421998,74.88914790421998,4,0,0,1,1
best,-74.96153216002966,74.96153216002966,-74.96153216002963,74.96153216002963,4,0,0,1,2
