Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,0.013513513513514097,-0.013513513513514097,0.013513513513514097,-0.013513513513514097,4,2,0,0,2
best,0.001220407563256365,-0.001220407563256365,1.8838226994999374e-07,-1.8838226994999374e-07,3,1,1,0,1
