Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-75.32977262692876,75.32977262692876,-75.3314636220307,75.3314636220307,1,1,0,2,3
best,-75.34552854431307,75.34552854431307,-75.34580259904364,75.34580259904364,0,1,0,0,4
