Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-75.13738718186325,75.13738718186325,-75.14508100739086,75.14508100739086,4,0,3,0,2
best,-75.32853530843077,75.32853530843077,-75.34580259409063,75.34580259409063,3,0,3,0,2
