Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-3.420955973061495,3.420955973061495,-7.773181857483193,7.773181857483193,0,1,4,2,18
best,-7.844239924974932,7.844239924974932,-7.952650034391549,7.952650034391549,1,2,3,4,17
