Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,0.9346645654712499,-0.9346645654712499,0.9346645654712499,-0.9346645654712499,4,2,0,0,1
best,0.9986149832906285,-0.9986149832906285,0.9986149832906285,-0.9986149832906285,4,0,1,0,0
