Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-7.919160918442654,7.919160918442654,-7.952650043989645,7.952650043989645,2,0,4,1,0
best,-7.948781293583976,7.948781293583976,-7.952646831885595,7.952646831885595,2,0,2,0,1
