Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-74.88474659235408,74.88474659235408,-74.92642662473749,74.92642662473749,5,0,1,1,2
best,-75.20535891517603,75.20535891517603,-75.2080374998538,75.2080374998538,3,0,2,1,1
