Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-5.945503798878536,5.945503798878536,-7.664286529160244,7.664286529160244,0,6,4,3,18
best,-7.453444705960169,7.453444705960169,-7.499614870909591,7.499614870909591,4,1,0,4,8
