Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,0.013513513513514097,-0.013513513513514097,0.013513513513514097,-0.013513513513514097,4,1,0,0,2
best,0.001971468834037815,-0.001971468834037815,1.4910756907515754e-06,-1.4910756907515754e-06,4,2,1,0,1
