Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-4.799436706751449,4.799436706751449,-7.441157318503334,7.441157318503334,0,4,5,4,14
best,-7.37503102072553,7.37503102072553,-7.952649982119052,7.952649982119052,0,3,5,5,15
