Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,0.9257865274903865,-0.9257865274903865,0.9257865274903865,-0.9257865274903865,4,0,1,2,1
best,0.994127842033464,-0.994127842033464,0.994127842033464,-0.994127842033464,4,1,1,0,0
