Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-75.12847136225349,75.12847136225349,-75.12898899364612,75.12898899364612,3,0,1,2,3
best,-75.12847136225349,75.12847136225349,-75.12898899364612,75.12898899364612,3,0,1,2,3
