Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-7.942202421694427,7.942202421694427,-7.952650030521952,7.952650030521952,2,0,2,0,4
best,-7.9521542807278305,7.9521542807278305,-7.9526500435916265,7.9526500435916265,1,0,1,0,2
