Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,0.1522815830572808,-0.1522815830572808,0.016071289142874368,-0.016071289142874368,4,0,0,2,3
best,0.002129460052943677,-0.002129460052943677,2.3388097786236628e-07,-2.3388097786236628e-07,4,0,1,1,2
