Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,0.4590228774744848,-0.4590228774744848,8.262070216669137e-05,-8.262070216669137e-05,0,6,6,4,5
best,0.3175740199783168,-0.3175740199783168,0.0029371965071053885,-0.0029371965071053885,4,6,2,2,7
