Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-74.37570202741668,74.37570202741668,-75.00092703101217,75.00092703101217,0,4,2,7,12
best,-75.22962189933959,75.22962189933959,-75.26596268084315,75.26596268084315,0,2,2,7,10
