Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-0.25241995296877895,0.25241995296877895,-1.1173474601361084,1.1173474601361084,0,4,11,6,3
best,-0.8422662193820294,0.8422662193820294,-1.1173488674510839,1.1173488674510839,0,4,3,3,8
