Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-4.465241219689542,4.465241219689542,-6.926821228840032,6.926821228840032,0,4,3,6,17
best,-7.470728422142185,7.470728422142185,-7.62959185125713,7.62959185125713,4,1,5,5,13
